"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv","exact.loan.term"
"100",39,23,0.998368159940084,-0.579267058327383,-0.849157414312439,0.63246680167441,1,1,0,1,1,0,0
"101",26,23,1.07251133482587,-0.785890263242174,-0.530537476319579,0.129841431595707,0,1,0,1,0,1,0
"102",40,37,1.08074946536874,-1.3895541364246,-0.526426251313219,0.792016954311076,0,1,1,0,0,1,1
"103",40,36,-1.40716595857661,0.0689626041503932,-0.945771201961887,1.01616361500576,0,1,0,1,1,0,1
"104",39,35,1.03132068211155,-1.75418332156835,0.647328488002415,-0.0535265219180124,0,0,1,0,0,1,0
"105",40,36,-1.43188035020521,-0.137660600764398,-0.945771201961887,1.23641769362542,0,1,0,1,1,0,1
"106",39,36,-1.2918321309765,-0.4577239966128,-0.945771201961887,1.02688323621004,0,1,0,1,1,0,1
"107",38,35,0.742986113111257,-0.542804139813008,0.957725975982557,1.18742454726403,1,1,0,1,1,0,0
"108",31,25,0.677081068768333,-1.75418332156835,-0.594261463918151,1.70361117514302,0,1,1,0,0,1,1
"109",38,25,-1.42364221966234,-0.421261078098425,-0.945771201961887,0.0703706900581608,0,1,0,1,1,0,0
"110",40,25,0.981891898854353,-0.785890263242174,0.0491452495771093,0.739680877892372,1,1,0,1,1,0,1
"111",38,24,0.973653768311488,-0.380746724193564,-0.00430067550556404,0.0116418308943606,0,0,0,0,0,1,1
"112",38,24,1.09722572645447,-0.785890263242174,-0.415423176141513,-0.244432349194641,1,0,0,1,0,0,0
"113",33,23,-0.130255724432476,1.07777001638143,-0.635373713981746,-1.22328024722315,0,0,0,0,0,0,0
"114",39,23,0.471127805196698,-0.380746724193564,-0.28180836343483,1.35267132120082,0,1,0,1,1,0,0
"115",38,28,-1.81907248571988,-0.137660600764398,-0.945771201961887,0.585081277120814,0,1,0,1,1,0,0
"116",38,29,0.965415637768622,-0.947947678861618,0.36365396256361,-0.0175121373424092,1,1,0,1,0,0,1
"117",38,28,-0.871687473290362,-0.785890263242174,-0.945771201961887,0.238423020882811,0,1,0,1,1,0,0
"118",38,28,-1.81907248571988,-0.137660600764398,-0.945771201961887,0.585081277120814,0,1,0,1,1,0,0
"119",41,29,-1.42364221966234,0.267482938284212,-0.945771201961887,0.760644280268193,0,1,0,1,1,0,1
"120",40,28,-1.12706952011919,-0.137660600764398,-0.945771201961887,0.527046013446368,0,1,0,1,1,0,0
"121",40,28,0.61117602442541,-1.75418332156835,0.77272085069638,0.872185444384821,0,1,1,0,0,1,1
"122",34,28,0.537032849539621,-1.75418332156835,0.939225463453939,0.982262185948182,0,1,1,0,0,0,1
"123",39,28,0.50408032736816,-0.785890263242174,1.10161885120514,1.24294865837073,0,1,0,0,0,1,0
"124",38,28,-1.01997382306194,-0.380746724193564,-0.945771201961887,0.522224020151691,0,1,0,1,1,0,1
"125",34,28,-1.90145379114854,0.231020019769837,-0.945771201961887,0.36981871900393,0,1,0,1,1,0,1
"126",40,28,-1.86026313843421,0.210762842817407,-0.945771201961887,0.895099978857834,0,1,0,1,1,0,1
"127",40,28,-1.11883138957632,-0.336180934898217,-0.945771201961887,0.119462155203712,0,1,0,1,1,0,1
"128",35,23,0.174555105653544,-0.117403423811967,3.93425288058683,0.533328445569433,1,1,0,1,1,0,0
"129",34,23,1.16313077079739,-0.785890263242174,0.242372824876005,0.344433154169154,1,0,0,0,0,1,0
"130",39,23,0.775938635282718,-0.174123519278773,0.375987637582689,0.41269342752757,1,1,0,1,1,0,1
"131",26,23,0.850081810168507,-0.380746724193564,0.12520291219476,0.630662775404306,1,1,0,0,0,1,0
"132",29,23,0.726509852025526,0.0243968148550462,2.27537359052077,0.700233395146868,1,1,0,1,1,0,1
"133",39,23,1.05603507374014,-0.299718016383842,0.756275950670942,0.0978840036002096,1,1,0,1,1,0,0
"134",39,22,-1.23416521717644,-0.785890263242174,-0.945771201961887,0.629048832812057,0,1,0,1,1,0,0
"135",39,22,-1.2918321309765,-0.785890263242174,-0.945771201961887,0.0850739759450008,0,1,0,1,1,0,0
"136",30,23,0.41346089139664,-0.441518255050856,0.937169850950759,0.0260668932653647,0,0,0,0,0,0,1
"137",30,23,-0.855211212204631,0.0243968148550462,-0.945771201961887,1.2839636569142,0,1,0,1,1,0,1
"138",40,22,1.36908403436903,-0.502289785908147,-0.300308875963447,1.18317570527681,1,1,0,1,1,0,1
"139",39,22,-1.72845304974836,-0.441518255050856,-0.945771201961887,0.884724618212002,0,1,0,1,1,0,0
"140",23,22,0.858319940711372,0.0243968148550462,0.0984799496534232,-0.579078925367441,0,0,0,0,0,0,0
"141",40,22,-1.31654652260509,0.0243968148550462,-0.945771201961887,1.19804706470961,0,1,0,0,0,1,1
"142",39,26,-1.39068969749088,-0.137660600764398,-0.945771201961887,0.269314720708809,0,1,0,1,1,0,0
"143",29,26,-1.33302278369082,-0.133609165373912,-0.945771201961887,0.488789792420451,0,1,0,0,1,0,0
"144",40,26,-1.81083435517702,-1.75418332156835,-0.945771201961887,0.397834961866285,0,1,1,0,0,0,1
"145",40,26,0.841843679625641,-1.75418332156835,-0.226306825848976,1.81859921388852,0,1,1,0,0,1,1
"146",40,25,0.075697539139159,0.267482938284212,0.787110138218638,1.03963497334032,1,1,0,0,1,0,0
"147",39,26,0.990130029397219,-1.75418332156835,2.88794611646834,0.903195235668409,0,1,1,0,0,1,0
"148",28,17,0.965415637768622,-0.785890263242174,4.39882130630545,1.27980493007557,0,1,0,1,1,0,0
"149",40,19,-1.00349756197621,-0.178174954669259,-0.945771201961887,0.520406610797114,0,1,0,1,1,0,1
"150",35,18,0.149840714024948,0.125682699617199,-0.0228011880341817,1.01533127895583,1,1,0,1,1,0,0
"151",20,18,-1.24240334771931,0.226968584379351,-0.945771201961887,0.263441968943352,0,1,0,1,0,1,1
