"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"1",57,56,1,0.821298539673557,-1.73400548314058,0.267380492169443,-0.198198632963734,1,1,1,0,0,0
"2",64,57,1,-2.45415889475522,-0.134084490471392,-1.27030665427184,0.423836242861525,0,1,0,1,1,0
"3",58,56,1,0.655452593626531,-0.466375773564222,-0.00481878530618787,0.386475782561246,1,0,0,0,1,0
"4",63,56,1,-0.432911427307082,0.313072915172046,-0.912149710224956,1.06961832537026,1,1,0,1,1,0
"5",63,56,1,-1.56273693475245,-0.0971632367944108,-1.27030665427184,0.610193419222314,0,1,0,1,1,0
"6",62,56,1,0.924952255952949,-0.954556794404306,0.446458964192884,0.387456677380669,1,1,1,0,0,1
"7",62,57,1,-2.34013980684789,0.313072915172046,-1.27030665427184,0.568573781725807,0,1,0,1,1,0
"8",57,56,1,-1.36579487382161,-0.117675044392734,-1.27030665427184,0.276326937699854,0,1,0,1,1,0
"9",61,56,1,0.810933168045618,-0.733029272342419,-0.291344340543694,1.20933164328518,0,1,0,0,0,0
"10",63,56,1,-1.57310230638039,-0.482785219642881,-1.27030665427184,0.602263059570547,0,1,0,1,1,0
"11",64,56,1,-0.588392001726169,-1.73400548314058,-0.35342487751182,2.37484129273584e-05,1,1,1,0,0,1
"12",64,56,1,1.03897134386028,-0.544320642437849,3.54093496075795,0.879612225850036,0,1,0,0,0,1
"13",63,56,1,-1.45908321847306,-0.527911196359191,-1.27030665427184,0.389071119699825,0,1,0,1,1,0
"14",57,56,1,-1.63529453614802,-0.954556794404306,-1.27030665427184,0.37152413707947,0,1,1,0,1,0
"15",64,56,1,-0.0182965621895151,-0.0971632367944108,-0.112265868520252,0.0531724903526637,1,1,0,1,1,0
"16",64,56,1,-1.43835247521718,-0.134084490471392,-1.27030665427184,0.623317638398593,0,1,0,1,1,0
"17",63,56,1,0.230472356881025,0.579726413950244,0.150382557114128,0.606820835507561,1,1,0,1,1,0
"18",64,56,1,0.0749917824619374,0.624852390666554,-0.592196173543075,1.51508479973601,1,1,0,1,1,0
"19",60,56,1,1.00787522897646,-1.73400548314058,0.448846677153196,0.331459679772991,0,1,1,0,0,1
"20",64,56,1,-2.02917865800971,0.276151661495065,-1.27030665427184,0.937906352450966,0,1,0,1,1,0
"21",57,56,1,-1.87369808359063,-1.73400548314058,-1.27030665427184,0.309136551205182,0,1,1,0,1,0
"22",64,56,1,-1.9980825431259,-0.650982041949128,-1.27030665427184,0.84034802247677,0,1,0,1,1,0
"23",64,56,1,0.0957225257178157,-1.73400548314058,1.96981983287229,0.447264363945183,0,1,1,0,0,1
"24",64,56,1,-2.56817798266255,-0.0356278139994422,-1.27030665427184,0.0544884889172408,0,1,0,1,1,0
"25",63,55,1,1.45358620897785,-0.954556794404306,0.642251426938513,0.120976550712189,1,1,1,0,0,1
"26",63,55,1,0.220106985253086,-0.708415103224432,1.63076459250791,0.258398374266392,0,1,0,1,1,0
"27",63,55,1,-2.01881328638177,-0.0971632367944108,-1.27030665427184,0.710944206227081,0,1,0,1,1,0
"28",56,55,1,0.489606647579504,-0.0971632367944108,0.398704704986633,0.23459253174496,1,0,0,0,0,1
"29",64,55,1,0.893856141069131,-1.73400548314058,0.167096547836316,0.589295767549035,0,1,1,0,1,0
"30",61,55,1,0.0646264108339982,-0.298178951257975,-0.312833757186507,1.10101442431238,1,1,0,0,0,0
"31",63,55,1,0.178645498741329,-1.73400548314058,0.926389269215706,0.224969890377514,0,1,1,0,0,1
"32",60,55,1,0.707279451766226,-0.302281312777639,0.627925149176637,-0.0740826740469239,0,1,0,1,0,0
"33",64,55,1,-0.640218859865865,-0.134084490471392,-0.164795553647129,0.590999120738099,0,0,1,0,0,0
"34",63,55,1,0.976779114092645,-1.73400548314058,-0.23165151653588,0.793860666295819,0,1,1,0,1,0
"35",64,55,1,0.91458688432501,-1.73400548314058,-0.950353117589957,-0.00999087152252261,0,1,1,0,0,1
"36",62,55,1,0.582894992230956,-1.73400548314058,-0.401179136718071,0.8954422923961,1,1,1,0,0,0
"37",64,55,1,0.282299215020721,-1.73400548314058,-0.608910164265262,-0.609288205485215,1,1,1,0,0,0
"38",64,55,1,0.966413742464705,0.497679183556952,1.71433454611885,0.998525617965717,1,1,0,1,1,0
"39",63,55,1,-0.432911427307082,-0.954556794404306,1.7429871016426,0.161904703514189,0,1,1,0,0,1
"40",64,55,1,0.831663911301496,-1.73400548314058,-0.0215327760283757,0.480947742274503,1,1,1,0,1,0
"41",62,55,1,-0.557295886842352,-0.134084490471392,0.24589107552663,0.218653034611022,1,1,0,1,0,0
