"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"121",30,12,-1.01539134054465,-0.0342944365474413,-0.979053612491952,0.865791975435841,0,1,0,1,1,0
"122",38,12,-0.379313972108435,3.04959361411505,0.882594400115487,-1.8194555200141,0,0,0,0,0,1
"123",37,12,0.0391579808101254,1.78602872780007,-0.0748831570295282,-1.10888582080621,0,0,0,0,0,0
"124",39,12,0.156330127627322,3.32599843299645,-0.0871847958793572,-2.32146612446927,0,0,0,0,1,0
"125",16,12,0.917949081939102,0.794920020096762,0.255210818774214,-0.859050378567308,0,0,0,0,1,0
"126",35,12,0.357196665028231,-0.981968101283674,-0.113838346720653,1.11063770091581,1,1,0,1,0,1
"127",38,20,0.69197422736308,0.222367180985288,-0.191748726102903,-2.15604700469795,0,0,0,0,0,0
"128",38,20,0.892840764763989,-0.824022490494302,0.298266554748615,-0.502940343424057,1,0,0,0,1,0
"129",29,19,0.323718908794747,-0.0342944365474413,0.75752773847556,-0.853653156855668,0,0,0,0,0,0
"130",35,20,0.256763396327777,-0.0342944365474413,0.156797707975583,-1.06160561847134,0,0,0,0,0,0
"131",30,19,-1.38364665911298,-0.429158463520872,-0.979053612491952,0.351237875829652,0,1,0,1,1,0
"132",39,19,-1.76864085579806,-0.192240047336813,-0.979053612491952,-0.0179449239848899,0,1,0,1,1,0
"133",39,19,0.675235349246337,-0.0342944365474413,-0.0605312450380612,0.609145090579352,1,1,0,1,1,0
"134",38,19,0.574802080545883,-0.784536087796959,0.355674202714483,0.759039782796667,0,1,0,0,0,1
"135",22,6,-0.0194280925984731,1.78208008753034,-0.739171654920288,-1.47826762584779,1,0,0,0,0,0
"136",39,21,-1.56777431839715,-0.251469651382828,-0.979053612491952,0.259397100228425,0,1,0,1,1,0
"137",34,21,0.943057399114216,-0.824022490494302,1.38491131981683,0.43085511253161,1,1,0,1,0,0
"138",39,13,0.516216007137284,-0.587104074310244,0.552500424311745,0.590623645742787,0,0,0,0,1,0
"139",22,13,1.01838235063956,-0.824022490494302,-0.0564306987547849,0.994816787064707,1,1,0,1,1,0
"140",39,12,0.775668617946792,-0.429158463520872,0.618109164844166,0.761382037222704,0,1,0,0,0,1
"141",29,12,-1.50081880593018,-0.231726450034157,-0.979053612491952,1.12542041552149,0,1,0,1,1,0
"142",33,12,0.951426838172587,0.261853583682631,-0.0646317913213375,1.05355494702497,1,1,0,1,1,0
"143",26,12,0.750560300771678,-0.824022490494302,2.02869708629121,1.47514685992522,0,1,0,1,0,1
"144",31,12,1.1522933755735,-0.310699255428842,1.25779438503527,-1.00979370752738,0,0,0,0,0,0
"145",39,12,-1.40875497628809,-0.192240047336813,-0.979053612491952,0.402281722307305,0,1,0,1,1,0
"146",39,12,1.14392393651513,-0.824022490494302,1.50587743517348,0.977102092070123,1,1,0,1,0,0
"147",39,20,-1.39201609817135,-0.192240047336813,-0.979053612491952,0.167711414035849,0,1,0,1,1,0
"148",39,20,1.01838235063956,-0.824022490494302,2.09430582682363,0.73702170362448,1,1,0,1,0,1
"149",33,19,0.156330127627322,-0.271212852731499,-0.677663460671144,-0.869904496746699,0,0,0,0,0,1
"150",28,19,0.767299178888421,-0.824022490494302,0.288015189040424,1.18303020709075,0,1,0,1,0,1
"151",39,19,0.884471325705618,0.123651174241931,-0.421379317966375,-0.102060175084855,0,0,0,0,1,0
"152",38,19,1.06859898498978,-0.824022490494302,-0.103586981012462,-0.0283081329320511,0,1,0,1,0,0
"153",39,20,0.758929739830049,-0.824022490494302,-0.204050364952732,-0.531408526472885,0,1,0,1,0,0
"154",39,19,-1.24136619512067,-0.429158463520872,-0.979053612491952,0.819556337653049,0,1,0,1,1,0
"155",39,6,0.122852371393837,-0.587104074310244,-0.53824488703975,0.150697908751002,0,1,0,1,0,1
"156",14,6,1.00164347252281,-0.350185658126185,0.298266554748615,-0.456545409545271,1,0,0,0,1,0
"157",19,7,0.641757593012853,0.301339986379974,-0.224553096369113,-1.59826505875037,1,0,0,0,0,0
"158",38,6,0.775668617946792,0.479028798518018,1.32750367185097,-1.55427851231624,0,0,0,0,0,1
"159",35,6,-0.437900045517034,1.39116470082664,-0.222502823227475,-1.05171257330049,1,0,0,0,1,0
"160",49,6,-0.34583621587495,3.08513137654266,0.882594400115487,-1.73869887862236,0,0,0,0,0,1
"161",28,6,0.683604788304708,0.814663221445433,-0.83758476571892,-2.08602156538538,1,0,0,0,0,0
"162",23,6,0.340457786911489,0.715947214702076,1.12657690397043,-1.94954936847164,0,0,0,0,0,0
"163",23,7,0.315349469736375,0.167086217209008,-0.610004446997085,-0.257122861860827,0,0,0,0,0,1
"164",21,6,1.17740169274861,0.261853583682631,-0.409077679116547,-1.90489625795478,1,0,0,0,0,0
"165",42,7,-1.609621513689,0.360569590425989,-0.979053612491952,0.388387557423099,0,1,0,1,1,0
"166",31,7,-1.52592712310529,-0.267264212461765,-0.979053612491952,0.862063999098063,0,1,0,0,1,0
"167",29,7,0.474368811845428,-0.468644866218215,-0.548496252747941,1.16164503289063,1,1,0,1,1,0
"168",38,7,1.07696842404816,-0.567360872961572,-0.212251457519284,0.693105040273348,0,1,0,1,1,0
"169",40,7,-0.362575093991693,0.261853583682631,-0.480837239073882,-0.563619971800933,0,0,0,0,0,1
"170",28,7,0.633388153954481,0.163137576939274,0.14859661540903,0.828940897249399,0,1,0,0,0,1
"171",39,7,1.35315991297441,-0.448901664869543,-0.353720304292316,-0.293505941987259,0,0,0,0,0,1
"172",39,7,1.0351212287563,-0.468644866218215,-0.216352003802561,-0.0491309811475387,0,1,0,1,0,0
"173",39,7,1.31131271768255,-0.824022490494302,0.515595507762259,1.01520314072693,1,1,0,1,0,1
"174",19,7,0.934687960055845,-0.824022490494302,3.72017242814269,1.52851373302565,0,1,0,1,1,0
"175",34,7,1.01838235063956,-0.824022490494302,-0.044129059904956,0.116404674611383,0,1,0,1,1,0
"176",40,19,-2.32939327270893,0.202623979636617,-0.979053612491952,0.0736768756677804,0,1,0,1,0,1
"177",39,19,1.28620440050744,-0.824022490494302,-0.216352003802561,-0.398455394709616,0,0,0,0,0,1
"178",25,19,-1.64309926992249,-0.32649381650778,-0.979053612491952,0.521043050871485,0,1,0,1,1,0
"179",31,18,-0.0194280925984731,0.956814271155868,-0.0666820644629757,-2.2295671918623,0,0,0,0,0,0
"180",38,18,0.984904594406072,-0.824022490494302,0.989208603480671,0.901776577235814,0,1,0,1,0,1
"181",38,18,0.867732447588875,-0.192240047336813,0.164998800542135,1.57738918805147,0,1,0,1,0,0
"182",39,6,-0.119861361298928,3.63794101430546,2.58432110767515,-1.54563661141545,0,0,0,0,1,0
"183",23,6,0.440891055611943,-0.899046655619253,-0.193798999244541,0.0171364786930788,1,1,0,1,0,1
"184",39,7,-1.51755768404692,-0.587104074310244,-0.979053612491952,0.390241524172606,0,1,0,1,1,0
"185",37,6,1.13555449745675,0.123651174241931,-0.119989166145567,0.468491665687235,1,1,0,1,0,1
"186",26,6,0.767299178888421,-0.725306483750944,0.173199893108688,0.729976478972462,0,1,0,1,0,0
"187",14,7,0.532954885254027,-0.725306483750944,1.63094409681341,0.316880755434121,0,1,0,1,0,0
"188",18,7,-0.13660023941567,0.202623979636617,-0.486988058498796,0.239059407730368,0,1,0,1,1,0
"189",38,7,-1.58451319651389,-0.172496845988142,-0.979053612491952,0.260257414448266,0,1,0,1,1,0
"190",9,7,0.62501871489611,0.0802161312748534,-0.234804462077304,-0.856349296454743,1,0,0,0,1,0
"191",39,7,0.114482932335466,1.54516167134628,0.263411911340766,-2.25723823757989,0,0,0,0,0,0
"192",38,7,1.00164347252281,0.281596785031303,-0.197899545527817,-1.94954936847164,0,0,0,0,0,0
"193",11,7,1.06859898498978,-0.0342944365474413,-0.226603369510751,0.13959324348158,1,1,0,1,0,1
"194",12,7,-0.20355575188264,0.992352033583477,-0.692015372662611,-2.29257422074426,1,0,0,0,0,0
"195",28,19,0.524585446195656,-0.824022490494302,-0.152793536411778,0.37585866691028,0,1,0,0,0,1
"196",39,18,-1.69331590427272,0.558001603912704,-0.979053612491952,1.00602147426102,0,1,0,1,1,0
"197",20,18,0.708713105479822,-0.824022490494302,0.976906964630842,-0.204179206506788,1,0,0,0,0,0
"198",39,18,-1.2329967560623,-0.231726450034157,-0.979053612491952,0.743924100336549,0,1,0,1,1,0
"199",39,18,0.867732447588875,-0.824022490494302,0.140395522842477,0.709009537991534,1,1,0,0,0,1
"200",39,18,0.993274033464443,-0.824022490494302,-0.355770577433955,-0.0128209714023054,1,1,0,1,1,0
"201",31,18,-1.71842422144783,-0.0895754003237215,-0.979053612491952,0.275807977110807,0,1,0,1,1,0
"202",39,18,-0.956805267136049,-0.622641836737852,-0.979053612491952,0.994970432032964,0,1,0,1,1,0
"203",36,16,0.850993569472133,-0.725306483750944,-0.747372747486841,1.09725398579079,0,1,0,0,1,0
"204",21,17,0.34882722596986,-0.527874470264229,-0.501339970490263,0.766091297083875,1,1,0,1,1,0
"205",36,16,0.750560300771678,-0.208034608415751,0.456137586654752,0.171692523187142,0,0,0,0,0,1
"206",35,15,0.131221810452209,0.182880778287945,-0.370122489425422,-1.55427851231624,1,0,0,0,0,0
"207",39,15,-1.96113795414059,0.321083187728646,-0.979053612491952,0.660655908709739,0,1,0,0,1,0
"208",18,15,1.23598776615721,0.123651174241931,-0.214301730660922,-0.0653221014773546,1,0,0,0,0,0
"209",31,15,0.181438444802436,0.143394375590602,2.12300965080657,0.829456693196197,1,1,0,1,1,0
"210",39,15,-1.47571048875506,-0.168548205718408,-0.979053612491952,-0.121597785717506,0,0,0,0,0,1
"211",28,15,-1.65983814803923,-0.527874470264229,-0.979053612491952,0.441048550602479,0,1,0,1,1,0
"212",39,15,-1.74353253862294,0.167086217209008,-0.979053612491952,0.504933667446459,0,1,0,0,1,0
"213",37,15,-0.538333314217488,0.518515201215361,0.0604348703185896,0.0543139468370507,1,1,0,1,1,0
"214",18,14,-0.0696447269487004,0.0683702104656505,0.732924460775902,-0.883585559565774,0,0,0,0,0,0
"215",31,14,-0.144969678474041,0.854149624142776,-0.642808817263295,-1.09004427304955,1,0,0,0,0,0
"216",37,14,0.0307885417517542,0.123651174241931,-0.197899545527817,-0.0700623947233483,0,0,0,0,0,1
"217",19,18,1.04349066781467,-0.0342944365474413,0.630410803693995,-0.00353359842392141,0,0,0,0,0,0
"218",39,18,1.17740169274861,-0.824022490494302,0.20395399023326,0.765445114492973,0,1,0,0,0,1
"219",35,18,-1.70168534333109,0.18682941855768,-0.979053612491952,-0.829607366777781,0,0,0,0,1,0
"220",37,16,0.650127032071224,0.0446783688472448,-0.603853627572171,-0.853653156855668,1,0,0,0,0,0
"221",38,16,0.825885252297019,0.360569590425989,0.234708087357832,-1.04311031437266,0,0,0,0,1,0
"222",39,16,-1.36690778099624,-0.0342944365474413,-0.979053612491952,-0.717388180233359,0,0,0,0,1,0
"223",39,15,0.173069005744065,-0.824022490494302,0.683717905376587,0.65020950391089,0,1,0,1,1,0
"224",40,15,-0.354205654933322,2.24012235881952,1.0712195291462,-1.11530604830518,0,0,0,0,1,0
"225",39,15,-0.195186312824269,1.01604387520188,-0.267608832343514,-0.0249888810378521,1,0,0,0,1,0
"226",24,15,-0.287250142466352,1.3516782981293,-0.199949818669455,-1.69992190701927,1,0,0,0,0,0
"227",39,15,-1.25810507323741,0.00914060641963589,-0.979053612491952,-0.450796194247477,0,0,0,0,0,1
"228",26,14,0.943057399114216,-0.429158463520872,0.275713550190595,-0.103678450788189,1,0,0,0,1,0
"229",24,15,-1.79374917297317,-0.109318601672393,-0.979053612491952,-0.00250527241973969,0,1,0,1,1,0
"230",29,15,0.566432641487512,-0.0540376378961128,-0.0318274210551271,-0.00662288952533716,0,0,0,0,0,1
"231",38,14,0.725451983596565,1.78208008753034,-0.331167299734297,-1.62530141142357,1,0,0,0,0,0
"232",38,14,0.173069005744065,-0.208034608415751,-0.794529029744518,0.885218864496115,1,1,0,0,1,0
"233",22,14,0.106113493277095,-0.508131268915558,0.577103702011403,0.930593159855722,1,1,0,1,1,0
"234",30,14,0.926318520997474,-0.251469651382828,0.230607541074556,-0.426407667024276,0,0,0,0,0,1
"235",39,14,-0.195186312824269,0.561950244182438,0.365925568422674,-0.798144821625096,1,0,0,0,1,0
"236",35,14,-0.295619581524723,2.25986556016819,0.117842518284458,-1.0117116249863,0,0,0,0,1,0
"237",25,14,0.917949081939102,-0.587104074310244,0.312618466740082,1.49757836840736,0,1,0,1,1,0
"238",26,14,0.399043860320087,-0.251469651382828,-0.669462368104591,-0.659598817360191,0,0,0,0,0,1
"239",39,13,-1.58451319651389,0.656717610656061,-0.979053612491952,-0.0679747866188317,0,1,0,1,1,0
"240",21,13,0.650127032071224,-0.231726450034157,-0.230703915794028,-0.732196745885016,1,0,0,0,0,1
"241",39,13,0.223285640094292,-0.271212852731499,-0.921645964526084,0.17384000380743,1,1,0,1,0,1
"242",39,13,0.951426838172587,-0.369928859474857,-0.119989166145567,-0.246380846750776,1,0,0,0,1,0
"243",33,13,0.198177322919178,0.419799194472003,-0.673562914387868,-1.94389316237114,1,0,0,0,0,1
"244",35,13,-1.19951899982881,-0.824022490494302,-0.979053612491952,0.684746631026235,0,1,0,1,1,0
"245",27,12,0.917949081939102,1.03183843628082,-0.634607724696743,-2.27833797589209,1,0,0,0,0,0
