"","attr(s.df, ""scaled:scale"")","attr(s.df, ""scaled:center"")"
"credit.score",96.4750744975286,731.765162200282
"interest.rate",0.024376203686743,0.0422684708509638
"pti",0.041881081043724,0.0532018159379408
"veh.value",0.548305502684228,10.1490056013425
